1920 jobs 3123s
{'learner': 'P2', 'delta': 1.5, 'rho': 0.7, 'N': 200, 's': 0.0, 'seeds': 20, 'true_gain_mean': -7.771561172376095e-17, 'gain_mean': -0.0258, 'bias': -0.025799999999999924, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.0095694, 'cost_fixed': 0.011268000000000004}
{'learner': 'P2', 'delta': 1.5, 'rho': 0.7, 'N': 200, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.014397615740311153, 'gain_mean': -0.0033, 'bias': -0.017697615740311153, 'pass': 0, 'p_lt_05': 7, 'cost_policy': 0.0090413, 'cost_fixed': 0.011268000000000004}
{'learner': 'P2', 'delta': 1.5, 'rho': 0.7, 'N': 200, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.06475625785810112, 'gain_mean': 0.03665000000000001, 'bias': -0.028106257858101093, 'pass': 0, 'p_lt_05': 18, 'cost_policy': 0.007620600000000001, 'cost_fixed': 0.011268000000000004}
{'learner': 'P2', 'delta': 1.5, 'rho': 0.7, 'N': 300, 's': 0.0, 'seeds': 20, 'true_gain_mean': 9.992007221626409e-17, 'gain_mean': -0.02613333333333333, 'bias': -0.026133333333333432, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.010415599999999999, 'cost_fixed': 0.011940000000000003}
{'learner': 'P2', 'delta': 1.5, 'rho': 0.7, 'N': 300, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.010528050475742717, 'gain_mean': -0.004133333333333333, 'bias': -0.014661383809076051, 'pass': 0, 'p_lt_05': 8, 'cost_policy': 0.009805466666666667, 'cost_fixed': 0.011940000000000003}
{'learner': 'P2', 'delta': 1.5, 'rho': 0.7, 'N': 300, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.05763888307682889, 'gain_mean': 0.03913333333333333, 'bias': -0.018505549743495556, 'pass': 1, 'p_lt_05': 19, 'cost_policy': 0.007489333333333334, 'cost_fixed': 0.011940000000000003}
{'learner': 'P2', 'delta': 1.5, 'rho': 1.0, 'N': 100, 's': 0.0, 'seeds': 20, 'true_gain_mean': 0.0, 'gain_mean': -0.03570000000000001, 'bias': -0.0357, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.009380200000000003, 'cost_fixed': 0.011436000000000002}
{'learner': 'P2', 'delta': 1.5, 'rho': 1.0, 'N': 100, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.012960297856072178, 'gain_mean': -0.0226, 'bias': -0.03556029785607218, 'pass': 0, 'p_lt_05': 3, 'cost_policy': 0.0091748, 'cost_fixed': 0.011436000000000002}
{'learner': 'P2', 'delta': 1.5, 'rho': 1.0, 'N': 100, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.0632526204682739, 'gain_mean': 0.008400000000000001, 'bias': -0.05485262046827392, 'pass': 1, 'p_lt_05': 12, 'cost_policy': 0.008081600000000003, 'cost_fixed': 0.011436000000000002}
{'learner': 'P2', 'delta': 1.5, 'rho': 1.0, 'N': 150, 's': 0.0, 'seeds': 20, 'true_gain_mean': 5.551115123125783e-18, 'gain_mean': -0.03086666666666667, 'bias': -0.030866666666666674, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.009506800000000003, 'cost_fixed': 0.011384000000000003}
